"iso2c","country","date","rr_distress"
"US","United States",1982-03-01,0
"US","United States",1982-09-01,0
"US","United States",1983-03-01,0
"US","United States",1983-09-01,0
"US","United States",1984-03-01,0
"US","United States",1984-09-01,0
"US","United States",1985-03-01,0
"US","United States",1985-09-01,0
"US","United States",1986-03-01,1
"US","United States",1986-09-01,0
"US","United States",1987-03-01,0
"US","United States",1987-09-01,0
"US","United States",1988-03-01,0
"US","United States",1988-09-01,0
"US","United States",1989-03-01,0
"US","United States",1989-09-01,0
"US","United States",1990-03-01,5
"US","United States",1990-09-01,8
"US","United States",1991-03-01,4
"US","United States",1991-09-01,3
"US","United States",1992-03-01,2
"US","United States",1992-09-01,0
"US","United States",1993-03-01,0
"US","United States",1993-09-01,0
"US","United States",1994-03-01,0
"US","United States",1994-09-01,0
"US","United States",1995-03-01,0
"US","United States",1995-09-01,0
"US","United States",1996-03-01,0
"US","United States",1996-09-01,0
"US","United States",1997-03-01,0
"US","United States",1997-09-01,0
"US","United States",1998-03-01,0
"US","United States",1998-09-01,3
"US","United States",1999-03-01,0
"US","United States",1999-09-01,0
"US","United States",2000-03-01,0
"US","United States",2000-09-01,0
"US","United States",2001-03-01,0
"US","United States",2001-09-01,0
"US","United States",2002-03-01,0
"US","United States",2002-09-01,0
"US","United States",2003-03-01,0
"US","United States",2003-09-01,0
"US","United States",2004-03-01,0
"US","United States",2004-09-01,0
"US","United States",2005-03-01,0
"US","United States",2005-09-01,0
"US","United States",2006-03-01,0
"US","United States",2006-09-01,0
"US","United States",2007-03-01,1
