country,iso3c,date,pca_bag_pc1
Azerbaijan,AZE,2003-06-01,0.043877848513904
Azerbaijan,AZE,2003-08-01,0.26165706803134
Azerbaijan,AZE,2003-09-01,0.0483257868047858
Azerbaijan,AZE,2003-11-01,0.174350839318598
Azerbaijan,AZE,2003-12-01,0.0144062452512237
Azerbaijan,AZE,2004-02-01,0.264762091164822
Azerbaijan,AZE,2004-03-01,0.0281009329780255
Azerbaijan,AZE,2004-04-01,0.0433236124778714
Azerbaijan,AZE,2004-05-01,0.187951761319844
Azerbaijan,AZE,2004-06-01,0.0515134400294024
