"word_stem","variable_importance"
"rise",0.000313660435199681
"risen",8.00936472899727e-07
"risk",2.01945206456805e-05
"road",1.41499139616975e-06
"robust",1.57722769202223e-05
"role",2.96458755821896e-06
"room",7.28908896189942e-07
"rose",4.20410106701272e-06
"round",3.28052081807728e-07
"rule",3.15251622686543e-06
"run",4.74415930933842e-06
"rural",8.4571156625953e-07
"russia",2.82622184441508e-06
"salari",6.51678008441264e-07
"sale",3.74429717745911e-06
"save",1.6913091249369e-06
"scale",6.50772791731915e-07
"scenario",6.57155374139686e-07
"scene",4.16462973141686e-06
"schedul",3.02456223368289e-06
"scheme",1.63132542593494e-06
"scope",6.17473487136871e-07
"season",4.92670887563509e-07
"sector",0.000199312376497219
"sectors",3.63605869151763e-06
"secur",3.58671988706785e-05
"seek",7.16940316669135e-06
"sell",2.28794756942275e-06
"senior",2.20408080950074e-06
