"word_stem","variable_importance"
"stock",1.02053281663482e-05
"stood",2.90224256797051e-06
"strategi",3.42841684376814e-06
"strength",3.90765964705772e-06
"strengthen",1.33584142823833e-05
"strong",0.000110809841727618
"stronger",1.44954482665749e-05
"structur",7.03187084377747e-06
"struggl",1.68771281076665e-06
"subject",2.00473389368335e-06
"subsequ",1.89369528645168e-06
"subsidi",1.39730027140365e-06
"substanti",7.02044797798026e-06
"success",5.95457398043569e-06
"suffer",4.92305684779166e-06
"suffici",2.03178676412397e-06
"suggest",7.21854240276103e-06
"suppli",1.15013878502753e-05
"support",1.71482146497107e-05
"surg",1.35543851237538e-06
"surplus",0.000106610462989715
"survey",1.44257945875736e-06
"sustain",7.40306074975135e-06
"system",5.06922937259933e-05
"tackl",1.34285684423224e-06
"take",3.28662538711312e-06
"talk",2.63885780085349e-06
"target",4.39295507056812e-05
"tax",1.96858260421562e-05
"technic",2.40212963534825e-06
"telecommun",1.02038163963567e-06
"ten",1.69114184016095e-06
"tension",1.15998216362579e-06
"term",1.29998103948985e-05
"terms",2.43434561645446e-06
"threat",1.69828626403363e-06
"threaten",3.35205501210366e-07
"tie",2.13935911603645e-06
"tight",1.61160742604526e-05
"tighten",7.91509344667964e-05
"tighter",3.87672681932613e-06
"time",2.29629118891748e-05
"total",0.000129649252343617
"tourism",7.55598787062725e-06
"track",2.63919577798117e-06
"trade",1.77855133535262e-05
"tradit",1.69642597981811e-06
"transact",1.66349142717516e-06
"transfer",5.1235345839108e-06
"transpar",6.39925791112187e-06
"transport",3.29396625280833e-06
"treasuri",3.18078780061482e-06
"trend",7.55063290204342e-06
"turmoil",1.38900784266048e-06
"turn",1.98030435122113e-06
"uncertainti",2.22384134489665e-06
"unchang",2.8347452513447e-06
"undermin",1.46181862713683e-06
"underpin",5.72251736423952e-06
"unemploy",3.66583023864252e-06
"union",5.73703834717617e-06
"unit",4.28204762905125e-06
"upward",1.15748994520239e-05
