"iso2c","country","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C1_ma"
"CU","Cuba",2004-01-01,0.296417687227054,0.337704359686996,0.581826189553417,0.423679003454974,0.310232244673119,0.484312211139711,0.435405312933086,0.272204279913566,0.845600072503261,0.461610820713842,0.277914060647122
"CU","Cuba",2004-02-01,0.489264845634886,0.45320433062013,0.486243973514743,0.611897389473415,0.389538844152134,0.466705199143386,0.59913432897217,0.238568859849982,0.857599016381647,0.477873068157509,0.39284126643097
"CU","Cuba",2004-05-01,0.570827704673261,0.470999329402837,0.399940372681303,0.655662125024712,0.342870507994729,0.458286125931603,0.559371111105243,0.297751646204158,0.846340260982187,0.408970546698828,0.530046275154074
"CU","Cuba",2004-06-01,0.257776220759206,0.351803491301507,0.627614984844478,0.448604552865587,0.330360116239119,0.51167087227402,0.435670854526247,0.285664182133595,0.714977800567256,0.470879074259065,0.414301962716234
"CU","Cuba",2004-07-01,0.300297463870102,0.343041852654092,0.578435617028192,0.475652970423326,0.363376640952888,0.501962240887446,0.465882595038336,0.277381390036554,0.747333021169864,0.490090419670731,0.279036842314654
"CU","Cuba",2004-09-01,0.361589275291207,0.367876788056669,0.602946218354906,0.463574657550458,0.359936775548082,0.631704895366355,0.429946127226761,0.333700478433518,0.802736503541289,0.526138497512308,0.330943369580654
"CU","Cuba",2004-10-01,0.327863282357447,0.378677214528689,0.62050719737864,0.41255461850947,0.387163505557676,0.599924602046877,0.446909727905818,0.327643212714117,0.800265863099391,0.533578534210629,0.344726278824327
"CU","Cuba",2004-11-01,0.541135708108246,0.336191387330046,0.405495614810524,0.573478354845032,0.367530044751292,0.635958664638805,0.523411856169211,0.297612139758389,0.797579075894443,0.469923965209425,0.434499495232846
"CU","Cuba",2004-12-01,0.328734677989732,0.40612995831462,0.548975113486049,0.465284311639078,0.354494738719884,0.574025471709102,0.449483973416143,0.362523880846997,0.820622052912201,0.505368143936067,0.434935193048989
"CU","Cuba",2005-01-01,0.37455911808774,0.45302937377432,0.610281503385332,0.510230389509598,0.273630073843286,0.67470239941228,0.401314972412546,0.484683972185572,0.717234128766644,0.491048626995517,0.351646898038736
"CU","Cuba",2005-02-01,0.538782399801818,0.387788067304843,0.477698321756562,0.668782698909839,0.386390613942955,0.565881400837616,0.619008506917756,0.229561976827612,0.820205543043401,0.501546905727465,0.456670758944779
"CU","Cuba",2005-04-01,0.47681326744575,0.370328019016537,0.547898389591054,0.566393679106172,0.361447922607274,0.672460517995366,0.618122866542342,0.324944587534316,0.784731767222564,0.568602930696433,0.507797833623784
"CU","Cuba",2005-05-01,0.568823222461729,0.403760646928442,0.539611870800553,0.740968779259018,0.416698151617236,0.535667936079298,0.653176252676145,0.220858923754979,0.787433792586821,0.484480094408955,0.52281824495374
"CU","Cuba",2005-07-01,0.469797200360043,0.379924866650234,0.601110178190687,0.590157887248455,0.358244267848111,0.701707832305918,0.533100766860532,0.319149470532776,0.71048756306872,0.618398343512016,0.519310211410886
"CU","Cuba",2005-08-01,0.595311842189117,0.411535097311959,0.517051977207429,0.577337615668227,0.403189054704537,0.673629040735635,0.669266112672962,0.334263439644075,0.900823403114449,0.567889623836325,0.53255452127458
"CU","Cuba",2005-09-01,0.396852254916117,0.433537572958922,0.583249400607558,0.586167483128616,0.304626841458854,0.651603611845165,0.628126650792432,0.306186097133469,0.834852987833166,0.512022119575509,0.496082048552617
"CU","Cuba",2005-10-01,0.364139377776138,0.407574948568962,0.568793713435901,0.586548831149413,0.288355879404238,0.643002785468602,0.637286391910665,0.307094192352158,0.836705806784075,0.520288115399827,0.380495816346127
"CU","Cuba",2005-11-01,0.491982561073604,0.433777161381614,0.55800219214346,0.759224239128329,0.275005526854559,0.531397372584731,0.615607061153189,0.274972944014367,0.826399371036932,0.438999909711663,0.428060969424871
"CU","Cuba",2006-04-01,0.404803361252657,0.443079695574131,0.659407311314531,0.631749643319551,0.276957055558361,0.504809114172733,0.682061060755886,0.343430035866447,0.723640322479178,0.52187586186374,0.448392961163131
"CU","Cuba",2006-06-01,0.434062699593041,0.4284580990159,0.51610161146549,0.678422200205254,0.295034481241498,0.575003977519914,0.731258125442345,0.451638126264442,0.818663756453291,0.482704995148851,0.419433030422849
"CU","Cuba",2006-08-01,0.608099934694388,0.452792144527574,0.435115558335058,0.744039374359482,0.321280285166351,0.690304374574529,0.64628541046228,0.39876479200888,0.869438176405658,0.564171595397608,0.521081317143714
"CU","Cuba",2006-09-01,0.541771380484339,0.458016129293565,0.509302811083837,0.618267943791701,0.373130466910484,0.633819341915039,0.70797545884776,0.484772762223549,0.849176418064962,0.49478919870204,0.574935657589363
"CU","Cuba",2006-11-01,0.574144793331755,0.438499980609868,0.477044154143977,0.725753058602209,0.318663614138563,0.630821432345095,0.741679422565385,0.466839970342583,0.801585698526906,0.504082243189279,0.557958086908047
